,,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID
,1 CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520
,2 CA-2016-152156,11-08-2016,11-11-2016,Second Class,CG-12520
,3 CA-2016-138688,06-12-2016,6/16/2016,Second Class,DV-13045
,4 US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335
,5 US-2015-108966,10-11-2015,10/18/2015,Standard Class,SO-20335
,6 CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710
,7 CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710
,8 CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710
,9 CA-2014-115812,06-09-2014,6/14/2014,Standard Class,BH-11710
10 CA-2014-115812,,06-09-2014,6/14/2014,Standard Class,BH-11710
11 CA-2014-115812,,06-09-2014,6/14/2014,Standard Class,BH-11710
12 CA-2014-115812,,06-09-2014,6/14/2014,Standard Class,BH-11710
13 CA-2017-114412,,4/15/2017,4/20/2017,Standard Class,AA-10480
14 CA-2016-161389,,12-05-2016,12-10-2016,Standard Class,IM-15070
15 US-2015-118983,,11/22/2015,11/26/2015,Standard Class,HP-14815
16 US-2015-118983,,11/22/2015,11/26/2015,Standard Class,HP-14815
17 CA-2014-105893,,11-11-2014,11/18/2014,Standard Class,PK-19075
18 CA-2014-167164,,5/13/2014,5/15/2014,Second Class,AG-10270
19 CA-2014-143336,,8/27/2014,09-01-2014,Second Class,ZD-21925
20 CA-2014-143336,,8/27/2014,09-01-2014,Second Class,ZD-21925
21 CA-2014-143336,,8/27/2014,09-01-2014,Second Class,ZD-21925
22 CA-2016-137330,,12-09-2016,12/13/2016,Standard Class,KB-16585
23 CA-2016-137330,,12-09-2016,12/13/2016,Standard Class,KB-16585
24 US-2017-156909,,7/16/2017,7/18/2017,Second Class,SF-20065
25 CA-2015-106320,,9/25/2015,9/30/2015,Standard Class,EB-13870
26 CA-2016-121755,,1/16/2016,1/20/2016,Second Class,EH-13945
27 CA-2016-121755,,1/16/2016,1/20/2016,Second Class,EH-13945
28 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
29 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
30 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
31 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
32 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
33 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
34 US-2015-150630,,9/17/2015,9/21/2015,Standard Class,TB-21520
35 CA-2017-107727,,10/19/2017,10/23/2017,Second Class,MA-17560
36 CA-2016-117590,,12-08-2016,12-10-2016,First Class,GH-14485
37 CA-2016-117590,,12-08-2016,12-10-2016,First Class,GH-14485
38 CA-2015-117415,,12/27/2015,12/31/2015,Standard Class,SN-20710
39 CA-2015-117415,,12/27/2015,12/31/2015,Standard Class,SN-20710
40 CA-2015-117415,,12/27/2015,12/31/2015,Standard Class,SN-20710
41 CA-2015-117415,,12/27/2015,12/31/2015,Standard Class,SN-20710
42 CA-2017-120999,,09-10-2017,9/15/2017,Standard Class,LC-16930
43 CA-2016-101343,,7/17/2016,7/22/2016,Standard Class,RA-19885
44 CA-2017-139619,,9/19/2017,9/23/2017,Standard Class,ES-14080
45 CA-2016-118255,,03-11-2016,3/13/2016,First Class,ON-18715
46 CA-2016-118255,,03-11-2016,3/13/2016,First Class,ON-18715
47 CA-2014-146703,,10/20/2014,10/25/2014,Second Class,PO-18865
48 CA-2016-169194,,6/20/2016,6/25/2016,Standard Class,LH-16900
49 CA-2016-169194,,6/20/2016,6/25/2016,Standard Class,LH-16900
50 CA-2015-115742,,4/18/2015,4/22/2015,Standard Class,DP-13000
51 CA-2015-115742,,4/18/2015,4/22/2015,Standard Class,DP-13000
52 CA-2015-115742,,4/18/2015,4/22/2015,Standard Class,DP-13000
,,,Page 1,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
53 CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000
54 CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265
55 CA-2016-105816,12-11-2016,12/17/2016,Standard Class,JM-15265
56 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
57 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
58 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
59 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
60 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
61 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
62 CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
63 CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
64 CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
65 CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
66 CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
67 US-2015-164175,4/30/2015,05-05-2015,Standard Class,PS-18970
68 CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590
69 CA-2014-106376,12-05-2014,12-10-2014,Standard Class,BS-11590
70 CA-2016-119823,06-04-2016,06-06-2016,First Class,KD-16270
71 CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980
72 CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520
73 US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745
74 US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745
75 US-2015-134026,4/26/2015,05-02-2015,Standard Class,JE-15745
76 US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600
77 US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600
78 US-2017-118038,12-09-2017,12-11-2017,First Class,KB-16600
79 US-2014-147606,11/26/2014,12-01-2014,Second Class,JE-15745
80 CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770
81 CA-2016-127208,06-12-2016,6/15/2016,First Class,SC-20770
82 CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690
83 CA-2014-139451,10-12-2014,10/16/2014,Standard Class,DN-13690
84 CA-2015-149734,09-03-2015,09-08-2015,Standard Class,JC-16105
85 US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400
86 CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865
87 CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895
88 CA-2017-155558,10/26/2017,11-02-2017,Standard Class,PG-18895
89 CA-2016-159695,04-05-2016,04-10-2016,Second Class,GM-14455
90 CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685
91 CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685
92 CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685
93 CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315
94 CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315
95 CA-2015-149587,1/31/2015,02-05-2015,Second Class,KB-16315
96 US-2017-109484,11-06-2017,11-12-2017,Standard Class,RB-19705
97 CA-2017-161018,11-09-2017,11-11-2017,Second Class,PN-18775
98 CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345
99 CA-2016-149223,09-06-2016,09-11-2016,Standard Class,ER-13855
100 CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465
101 CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465
102 CA-2016-158568,8/29/2016,09-02-2016,Standard Class,RB-19465
103 CA-2016-129903,12-01-2016,12-04-2016,Second Class,GZ-14470
104 US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
105 US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
,,Page 2,,
,45dad76e-7cd4-45e6-84c9-5353512d2674,,,
106 US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
